Bogrod Keddle,INFJ,3,Hufflepuff
Igor Sprout,ISFJ,5,Hufflepuff
Troy Umfraville,ENTP,6,Slytherin
Pomona Finnigan,ESTP,4,Gryffindor
Ragnok Delacour,ESFP,6,Ravenclaw
Bellatrix Higgs,ISTP,7,Gryffindor
Cornelius Quirke,ESFJ,5,Hufflepuff
Aurora Meliflua,ESFP,7,Ravenclaw
Ignotus Flint,ESTP,5,Gryffindor
Hengist of Woodcroft Dolohov,ENFP,7,Hufflepuff
Troy Whitby,ENTJ,2,Ravenclaw
Catriona Malfoy,ESTJ,6,Ravenclaw
Sybill Ivanova,ENTP,7,Slytherin
Trevor Weasley,ESTP,2,Gryffindor
Helena Dedalus,ESTP,7,Gryffindor
Filius Bones,ISFJ,6,Hufflepuff
Jugson Mimsey-Porpington,ISTP,4,Gryffindor
Viridian Bones,INTP,6,Gryffindor
Crookshanks Delacour,ISTP,7,Gryffindor
Mafalda Grubbly-Plank,INTP,6,Gryffindor
Ron Wood,INTJ,4,Ravenclaw
Rubeus Nott,ISFP,3,Slytherin
Elfrida Filch,ISFP,5,Slytherin
Malkin Doreen,INTP,7,Gryffindor
Ripper Krum,INFJ,2,Hufflepuff
Avery McGonagall,ESTJ,2,Ravenclaw
Livius Quirke,ENTJ,3,Ravenclaw
Elfrida Flamel,ENTP,7,Slytherin
Cassandra Fortescue,ESTJ,5,Ravenclaw
Agrippa Higgs,ESFP,4,Ravenclaw
Peeves Vane,INFP,6,Hufflepuff
Fawkes Helga,ENTJ,2,Ravenclaw
Frank Weasley,ESTJ,4,Ravenclaw
Gregory Zograf,ENFJ,6,Gryffindor
Troy Hagrid,INFP,4,Hufflepuff
Fluffy Slughorn,ISTP,4,Gryffindor
Rowena Bell,ENFP,6,Hufflepuff
Vernon Lestrange,ESTJ,2,Ravenclaw
Buckbeak Coote,ISFP,7,Slytherin
Luna Belby,ENFP,2,Hufflepuff
Aunt Marge Zabini,ISFJ,3,Hufflepuff
Alicia Ollivander,ESFJ,7,Hufflepuff
Bob McLaggen,INTJ,4,Ravenclaw
Patrick Dumbledore,ISTP,7,Gryffindor
Ted Polkiss,INFJ,3,Hufflepuff
Anthony Wood,ESTJ,2,Ravenclaw
Remus Shacklebolt,ESTP,6,Gryffindor
Firenze Potter,ISFJ,4,Hufflepuff
Ted Carrow,ESFP,5,Ravenclaw
Aberforth Figg,ENFP,6,Hufflepuff
Morgana Meliflua,ISTP,3,Gryffindor
Tom Lestrange,ISTJ,6,Slytherin
Albus percival Wulfric Brian Gaunt,ESFP,5,Ravenclaw
Gladys Grunnion,ISFP,7,Slytherin
Newton Finnigan,ISTJ,4,Slytherin
Lavender Grubbly-Plank,ISFJ,6,Hufflepuff
Snivellus Pomfrey,ENTJ,5,Ravenclaw
Charlie Elphick,INFP,3,Hufflepuff
Ignotus Clagg,ESFP,6,Ravenclaw
Hannah Longbottom,ESFP,3,Ravenclaw
Percy Mumps,ISFP,6,Slytherin
Bob Dursley,ISTP,5,Gryffindor
Bellatrix Burbage,ESTJ,4,Ravenclaw
Clara Millicent,ENTP,3,Slytherin
Helga Hopkirk,ENTP,7,Slytherin
Hassan Prince,INFJ,4,Hufflepuff
Sturgis Jigger,INFJ,6,Hufflepuff
Remus Lynch,ISTJ,6,Slytherin
Hugo Bagnold,ISTP,3,Gryffindor
Penelope McLaggen,ENFP,5,Hufflepuff
Cassandra Pomfrey,ENTJ,2,Ravenclaw
Madam Rosmerta Snape,ISFJ,5,Hufflepuff
Minerva Bagnold,ENFJ,3,Gryffindor
Alecto Flint,INTJ,7,Ravenclaw
Evan Parkinson,ISFJ,5,Hufflepuff
Salazar Marchbanks,ISFJ,4,Hufflepuff
Rolanda Peverell,INTJ,5,Ravenclaw
Arsenius Gaunt,INFJ,2,Hufflepuff
Ted Vector,INTP,7,Gryffindor
Broderick Maxime,ISFP,4,Slytherin
Pigwidgeon Jordan,ENTP,7,Slytherin
Petunia Bones,INTP,5,Gryffindor
Magorian Black,INFJ,6,Hufflepuff
Andromeda Delaney-Podmore,ISFP,5,Slytherin
Narcissa Ogden,INTP,2,Gryffindor
Griphook McClaggen,ISFJ,5,Hufflepuff
Andrew Carrow,INTP,2,Gryffindor
Quirinus Mimsey-Porpington,ENFP,4,Hufflepuff
Roger Longbottom,ESFJ,6,Hufflepuff
Marcus Switch,ESFJ,7,Hufflepuff
Cormac Kettleburn,ESFP,6,Ravenclaw
James Slughorn,ISTJ,5,Slytherin
Filius Dedalus,INFJ,5,Hufflepuff
Charity MacNair,ESTP,7,Gryffindor
Colin Parkinson,INTP,2,Gryffindor
Arabella Goldstein,ESTJ,4,Ravenclaw
Ludo Hagrid,ISFJ,5,Hufflepuff
Rubeus Bell,ISTJ,6,Slytherin
Amelia Susan Warrington,INFJ,2,Hufflepuff
Livius Dumbledore,ENTJ,5,Ravenclaw
Viktor Fletcher,ESTJ,4,Ravenclaw
Antonin Goyle,ENFJ,2,Gryffindor
Evan Bell,ISFP,7,Slytherin
Bertha Krum,ENFJ,7,Gryffindor
Hokey Riddle,ENTJ,7,Ravenclaw
Rita Whitby,ESTJ,4,Ravenclaw
Cedric Karkaroff,ENTP,2,Slytherin
Silvanus Parkinson,ENTP,5,Slytherin
Grawp Hooch,ISFJ,3,Hufflepuff
Wilkie ,ENTJ,6,Ravenclaw
Catriona Burbage,ENTJ,2,Ravenclaw
Evan Zeller,ISTJ,4,Slytherin
Dolores Evans,ENFJ,5,Gryffindor
Agrippa Vane,ISFP,2,Slytherin
Victoire Delacour,ISTJ,6,Slytherin
Petunia Warbeck,INTP,7,Gryffindor
Catriona Crabbe,ESTJ,7,Ravenclaw
Walden Pince,ISFP,6,Slytherin
Norbert Ravenclaw,ENFJ,3,Gryffindor
Piers Elphick,ESTP,6,Gryffindor
Moaning Myrtle Maxime,ISTP,6,Gryffindor
Ginny Dawlish,ESFJ,5,Hufflepuff
Hugo Abbott,ENTP,7,Slytherin
Quintius Bones,ENFJ,6,Gryffindor
Quintius Chang,ENFP,2,Hufflepuff
Vincent Coote,ENFP,6,Hufflepuff
Zacharias Prewett,ESTP,4,Gryffindor
Amos Thickey,ENTP,5,Slytherin
Hengist of Woodcroft Maxime,INFJ,4,Hufflepuff
Viktor Lockhart,ENFP,6,Hufflepuff
Dirk Thickey,INFP,5,Hufflepuff
Ron Peasegood,ISTJ,5,Slytherin
Mosag Wood,ENFP,3,Hufflepuff
Bogrod Midgeon,INFP,3,Hufflepuff
Paracelsus Meliflua,INTP,5,Gryffindor
Sirius Boardman,ESTJ,6,Ravenclaw
Mafalda Brown,ESTJ,5,Ravenclaw
Hepzibah Gregorovitch,ENTP,3,Slytherin
Goodwin Kneen,ISTP,4,Gryffindor
Katie Dursley,ENFP,7,Hufflepuff
Bogrod Black,ESFJ,7,Hufflepuff
Araminta Davies,ESFJ,2,Hufflepuff
Kendra Coote,ESFP,7,Ravenclaw
Bane Trimble,INFJ,4,Hufflepuff
Livius Zograf,INFP,3,Hufflepuff
Griselda Whitby,ISFP,5,Slytherin
Regulus Switch,ENTP,5,Slytherin
Adalbert Ollivander,ESFJ,7,Hufflepuff
Michael Diggle,INTJ,3,Ravenclaw
Barnabas the Barmy Granger,ESTJ,6,Ravenclaw
Cassius Kirke,ISFJ,5,Hufflepuff
Garrick Perks,ESFP,4,Ravenclaw
Eloise Prince,ESTP,3,Gryffindor
Pansy Johnson,INTP,4,Gryffindor
Lily Bagnold,INTJ,2,Ravenclaw
Lee Robins,INFJ,7,Hufflepuff
Stan Dippet,ISTJ,2,Slytherin
Hedwig Umbridge,ISTJ,4,Slytherin
Florean Bode,INFP,4,Hufflepuff
Wormtail Ogden,ENTJ,7,Ravenclaw
Nymphadora MacNair,ENTJ,3,Ravenclaw
Patrick Dursley,ISFP,7,Slytherin
Eloise Slytherin,ESFP,2,Ravenclaw
Ptolemy Thicknesse,ISFP,7,Slytherin
Gregory Perks,ISTP,3,Gryffindor
Violet Lestrange,INTJ,6,Ravenclaw
Beedle Higgs,ENFJ,5,Gryffindor
Edgar Prang,ENFP,7,Hufflepuff
Nymphadora Lestrange,ESTP,2,Gryffindor
Narcissa Mundungus,ENTP,6,Slytherin
Firenze Turpin,ISFP,3,Slytherin
Rita Meliflua,ENTJ,5,Ravenclaw
Ariana Helga,ISTP,2,Gryffindor
Clara Lovegood,ISFP,7,Slytherin
Cornelius McClaggen,ESTJ,7,Ravenclaw
Michael Gregorovitch,ISTJ,5,Slytherin
Oblansk MacNair,ENFJ,5,Gryffindor
Tom Peakes,ISFP,4,Slytherin
Lisa Burbage,ESFJ,3,Hufflepuff
Silvanus Evans,ESFP,7,Ravenclaw
Vincent Higgs,ESTP,3,Gryffindor
Antonin Bragge,INTP,5,Gryffindor
Catriona Cattermole,ISFP,2,Slytherin
Charlie Corner,ISFJ,3,Hufflepuff
Grawp Corner,ISTP,2,Gryffindor
Araminta Vane,ESTJ,2,Ravenclaw
Oliver Peasegood,ISTP,4,Gryffindor
Ritchie Hagrid,INFJ,6,Hufflepuff
Dilys McClaggen,INFP,2,Hufflepuff
Marcus Prewett,ENTJ,6,Ravenclaw
Lavender Cattermole,INTJ,6,Ravenclaw
Jimmy Imago,ENTJ,3,Ravenclaw
Tenebrus Belby,ISFP,3,Slytherin
Nearly Headless Nick Chang,ENTJ,4,Ravenclaw
Ignotus Dolohov,ENTP,6,Slytherin
Malkin Patil,INFP,3,Hufflepuff
Merlin Dursley,ESFJ,7,Hufflepuff
Rubeus Whisp,ESTP,5,Gryffindor
Pius Clagg,ESFP,5,Ravenclaw
Karkus Dawlish,ENFJ,2,Gryffindor
Merope Dursley,INFJ,6,Hufflepuff
Draco Vane,ISTJ,6,Slytherin
Phyllida Wood,ISFJ,6,Hufflepuff
Bartemius Crouch Junior Millicent,ENTP,5,Slytherin
Aberforth McLaggen,ENFP,4,Hufflepuff
Gwendolyn Bode,ISFP,4,Slytherin
Olympe Sprout,INFJ,6,Hufflepuff
Circe Tonks,INFJ,2,Hufflepuff
Regulus Peakes,ENFJ,2,Gryffindor
Wilfred Zabini,ESFJ,4,Hufflepuff
Goodwin Umbridge,ESTJ,2,Ravenclaw
Karkus Rookwood,ESTP,5,Gryffindor
Sirius Warrington,INTJ,5,Ravenclaw
Cassandra Patil,INTP,4,Gryffindor
Salazar Vane,ISTJ,4,Slytherin
Bill Clearwater,INFJ,5,Hufflepuff
Nearly Headless Nick Bragge,INFP,7,Hufflepuff
Hermes Polkiss,ISTP,6,Gryffindor
Bartemius Fortescue,ISFP,2,Slytherin
Bertha Fudge,ESTP,6,Gryffindor
Gwendolyn Nott,INTP,7,Gryffindor
Beedle Shacklebolt,INTJ,6,Ravenclaw
Amycus Slytherin,ESTP,3,Gryffindor
Silvanus Oswald,ENFJ,3,Gryffindor
Norbert Slinkhard,ESFJ,3,Hufflepuff
Marvolo Thicknesse,ISFP,7,Slytherin
Irma Crockford,INFP,2,Hufflepuff
Andromeda Johnson,ISFJ,7,Hufflepuff
Arabella Pince,ESFP,2,Ravenclaw
Jean Parkinson,ESFP,3,Ravenclaw
Morgana Pennifold,ISFJ,2,Hufflepuff
Cedric Helga,INFP,6,Hufflepuff
Stan Chang,INFP,2,Hufflepuff
Dilys Dolohov,ESTP,2,Gryffindor
Bellatrix Ivanova,ENTJ,6,Ravenclaw
MykewÂ Maxime,INTP,4,Gryffindor
Terence Gudgeon,ENTJ,3,Ravenclaw
Adalbert Quirrell,ISTJ,2,Slytherin
Wilfred Bode,ESFJ,3,Hufflepuff
Filius Ollivander,ENTP,6,Slytherin
Jean Dumbledore,ENFP,3,Hufflepuff
Ripper Jorkins,ISTJ,3,Slytherin
Modesty Timms,ISFP,4,Slytherin
Horace Bryce,ENTP,3,Slytherin
Theodore Chang,INFJ,3,Hufflepuff
Phyllida Doge,ISTP,5,Gryffindor
Parvati Abbott,INTP,5,Gryffindor
Gwendolyn Quirke,ENFP,5,Hufflepuff
Wendelin Grubbly-Plank,INFJ,6,Hufflepuff
Antonin Derwent,ESTJ,5,Ravenclaw
Frank Lynch,ESFJ,7,Hufflepuff
Marvolo Marchbanks,ISFJ,3,Hufflepuff
Ronan Morgan,ISFP,7,Slytherin
Miranda Longbottom,ISTP,2,Gryffindor
Agrippa Diggory,ESFP,2,Ravenclaw
Neville Skeeter,INTP,7,Gryffindor
Quentin Polkiss,INTJ,2,Ravenclaw
Viktor Ogden,ESTJ,3,Ravenclaw
Angelina Quirrell,INFP,5,Hufflepuff
Charlie Derwent,ENFP,2,Hufflepuff
Scabbers Dippet,ISTJ,5,Slytherin
Anthony Peverell,ENTJ,3,Ravenclaw
Quintius Zeller,ESFJ,4,Hufflepuff
Marge Zograf,ESTP,6,Gryffindor
Bill Dawlish,INFJ,6,Hufflepuff
Bathilda Potter,INFJ,6,Hufflepuff
Alberic Pennifold,INTP,3,Gryffindor
Bartemius Ravenclaw,INFJ,3,Hufflepuff
Cornelius Brown,ESTJ,5,Ravenclaw
Cadmus Vector,ESTP,5,Gryffindor
Regulus Ivanova,ISFJ,4,Hufflepuff
Teddy Zograf,ENFP,3,Hufflepuff
Mosag Corner,INFJ,2,Hufflepuff
Angelina Fudge,ISFJ,7,Hufflepuff
Adalbert Maxime,ISFP,3,Slytherin
Amos Jordan,ESTJ,5,Ravenclaw
Dudley Meliflua,ISTP,2,Gryffindor
Olympe Goldstein,ENTJ,7,Ravenclaw
Tenebrus Twycross,ENFP,3,Hufflepuff
Ariana Belby,ENFP,6,Hufflepuff
Hedwig Perks,INTP,3,Gryffindor
Newton Flamel,ESTJ,2,Ravenclaw
Godric Bryce,INTJ,2,Ravenclaw
Hepzibah Binns,ISFJ,4,Hufflepuff
Cassius Dedalus,ISTJ,2,Slytherin
Augusta Whisp,ISFJ,4,Hufflepuff
Nicolas Prang,ESTP,5,Gryffindor
Arcturus MacNair,ENTP,4,Slytherin
Hassan Lupin,INFJ,3,Hufflepuff
Oliver Krum,ENTJ,6,Ravenclaw
Luna Dippet,INFP,4,Hufflepuff
Circe Meliflua,INFJ,5,Hufflepuff
Helga Mostafa,INTJ,4,Ravenclaw
Mosag Slughorn,ESFJ,2,Hufflepuff
Violet Lupin,ENTP,6,Slytherin
Celestina Meliflua,INTP,5,Gryffindor
Narcissa Rookwood,ESFJ,3,Hufflepuff
Ludo Coote,ISFJ,3,Hufflepuff
Bellatrix Bell,INFJ,4,Hufflepuff
Petunia Filch,ISTP,5,Gryffindor
Penelope Snape,ESTP,4,Gryffindor
Quintius Lupin,ESFP,4,Ravenclaw
Cornelius Elphick,ENTJ,7,Ravenclaw
Emmeline Gaunt,ENTJ,7,Ravenclaw
Yaxley Wood,INTJ,7,Ravenclaw
Quigley Hopkirk,ENFJ,3,Gryffindor
Crookshanks Ivanova,INTP,7,Gryffindor
Ernie Diggle,ISFJ,5,Hufflepuff
Oblansk Morgan,INTJ,2,Ravenclaw
Salazar Smith,ISTP,6,Gryffindor
Goodwin Davies,ENFJ,6,Gryffindor
Aurora Millicent,ENTJ,6,Ravenclaw
Gwenog Ollivander,ESFP,5,Ravenclaw
Thomas Thickey,ENTJ,5,Ravenclaw
Modesty Mumps,ENFJ,6,Gryffindor
James Wood,ENFP,3,Hufflepuff
Godric Moody,ISTP,2,Gryffindor
Crookshanks Bones,INTJ,5,Ravenclaw
Wilhelmina Bagnold,ISTJ,7,Slytherin
Padfoot Ravenclaw,ENFJ,4,Gryffindor
Neville Riddle,ISFP,5,Slytherin
Vincent Warbeck,ESTJ,2,Ravenclaw
Peter Patil,ISFP,3,Slytherin
Dolores Imago,ESFP,4,Ravenclaw
Arsenius Zeller,ENTJ,5,Ravenclaw
Ernie Hagrid,ESTJ,4,Ravenclaw
Helga Carrow,INTP,7,Gryffindor
Roger Warbeck,ENTP,2,Slytherin
Modesty Murray,INFP,4,Hufflepuff
Prongs Helga,ISFJ,2,Hufflepuff
Errol Grindelwald,ENTJ,2,Ravenclaw
Bloody Baron Fortescue,ENFJ,6,Gryffindor
Marge Jorkins,ISTJ,4,Slytherin
Karkus Prang,ISFP,3,Slytherin
Colin Mumps,INTP,3,Gryffindor
Cassius Turpin,INTJ,2,Ravenclaw
Tom Thickey,INFJ,3,Hufflepuff
Tom Shacklebolt,INFJ,3,Hufflepuff
Bloody Baron Bagshot,ENFJ,6,Gryffindor
Dobby Jordan,ENTJ,2,Ravenclaw
Silvanus Robins,ENFP,4,Hufflepuff
Ludo Rabnott,ISFJ,5,Hufflepuff
Hermes Moody,ESTP,4,Gryffindor
Cassius Grindelwald,ESTJ,3,Ravenclaw
Wilfred Warrington,ENTP,3,Slytherin
Elphias Twycross,ISTJ,2,Slytherin
Dedalus Hagrid,ESTP,7,Gryffindor
Agrippa Zograf,ESTP,4,Gryffindor
Olympe Finnigan,ISFJ,7,Hufflepuff
Olympe Hooch,ESTP,4,Gryffindor
Harry Flint,ESFJ,4,Hufflepuff
Romilda Davies,ISFP,3,Slytherin
Karkus Crabbe,INTJ,7,Ravenclaw
Walden Delaney-Podmore,ISTP,4,Gryffindor
Charity Oswald,ESFP,3,Ravenclaw
Sybill Parkinson,ISTJ,5,Slytherin
Blaise Smith,ISTJ,3,Slytherin
Adalbert Finch-Fletchley,ENFJ,3,Gryffindor
Aurora Purkiss,ENFP,7,Hufflepuff
Remus Quirrell,ENFJ,3,Gryffindor
Lee Jorkins,ESFJ,4,Hufflepuff
Jimmy Millicent,ISTP,2,Gryffindor
Lisa Slinkhard,INTP,2,Gryffindor
Minerva Lynch,ENTP,3,Slytherin
Quigley Volkov,ISFJ,4,Hufflepuff
Silvanus Delacour,ENFP,5,Hufflepuff
Demelza Umbridge,ESFJ,6,Hufflepuff
Nagini Marchbanks,INFJ,4,Hufflepuff
Cedric Sprout,ENFJ,7,Gryffindor
Dudley Delacour,ISFJ,4,Hufflepuff
Hengist of Woodcroft Higgs,ENFJ,2,Gryffindor
Modesty Crouch,ESFP,5,Ravenclaw
Ariana Ravenclaw,INTP,5,Gryffindor
Rita Mimsey-Porpington,ISFJ,3,Hufflepuff
Bane Gregorovitch,ESFJ,3,Hufflepuff
Muriel Oswald,INTJ,6,Ravenclaw
Merlin Pince,ESTP,4,Gryffindor
Seamus Delaney-Podmore,INTP,5,Gryffindor
Amycus Corner,ESTJ,4,Ravenclaw
Paracelsus Corner,ESFP,4,Ravenclaw
Fang Bell,INFJ,4,Hufflepuff
Dirk Switch,ISTP,2,Gryffindor
Alice Smith,ENFP,4,Hufflepuff
Seamus Rookwood,INTJ,6,Ravenclaw
Silvanus Polkiss,INFP,3,Hufflepuff
Luna Figg,INTJ,2,Ravenclaw
Prongs Sprout,ISFJ,5,Hufflepuff
Fawkes Quirrell,ESFP,4,Ravenclaw
Godric Jones,ENTP,3,Slytherin
MykewÂ Gudgeon,ISTP,7,Gryffindor
Alicia Higgs,ESTP,5,Gryffindor
Crookshanks Dawlish,ESFJ,3,Hufflepuff
Bilius Dippet,INTP,7,Gryffindor
Prongs Coote,ISTP,4,Gryffindor
Xenophilius Edgecombe,ISTJ,7,Slytherin
Agatha Carrow,INFJ,7,Hufflepuff
Susan ,ESTJ,5,Ravenclaw
Gregory the Smarmy Mumps,ISTP,7,Gryffindor
Fat Friar Polkiss,INTJ,7,Ravenclaw
Araminta Potter,ISTJ,4,Slytherin
Petunia Warrington,ENTP,3,Slytherin
Wilfred Weasley,ENFJ,5,Gryffindor
Mundungus Doge,ENTP,4,Slytherin
Minerva McGonagall,ESFP,7,Ravenclaw
Araminta Krum,ISTJ,4,Slytherin
Griphook Rookwood,ISFJ,5,Hufflepuff
Dennis Gudgeon,ESFP,3,Ravenclaw
Teddy Twycross,ENTJ,5,Ravenclaw
Nymphadora Goshawk,ESFP,4,Ravenclaw
Fluffy Switch,ESFP,6,Ravenclaw
Jimmy McGonagall,INFJ,7,Hufflepuff
Stan Smith,ISTP,5,Gryffindor
Dilys Rosier,ENTP,4,Slytherin
Arsenius ,ESTJ,6,Ravenclaw
Alice Skeeter,ISFP,3,Slytherin
Uric Podmore,ESTJ,4,Ravenclaw
Filius Murray,ESFJ,4,Hufflepuff
Phineas Nigellus Delacour,ENTJ,2,Ravenclaw
Aberforth Purkiss,ISFJ,6,Hufflepuff
Marcus Jordan,INFP,6,Hufflepuff
Ptolemy Figg,ESTJ,5,Ravenclaw
Cornelius Zograf,ESFJ,3,Hufflepuff
Ludo Purkiss,ISTJ,4,Slytherin
Bellatrix Corner,ENFP,4,Hufflepuff
Viridian Umbridge,INTJ,2,Ravenclaw
Ignotus Volkov,ENTJ,7,Ravenclaw
Scabbers Prewett,INTP,4,Gryffindor
Travers Finnigan,ENFP,3,Hufflepuff
Arthur Bagnold,ENFJ,7,Gryffindor
Colin Moody,INFP,3,Hufflepuff
Hestia Fletcher,ESTJ,7,Ravenclaw
Florean Keddle,ENFJ,4,Gryffindor
Padfoot Dippet,INFJ,5,Hufflepuff
Luna Dursley,ESFJ,5,Hufflepuff
Modesty Trimble,INFJ,6,Hufflepuff
Hengist of Woodcroft Bulstrode,ISTP,5,Gryffindor
Olympe Derwent,ENFP,2,Hufflepuff
Dudley Timms,ISTP,5,Gryffindor
Wilfred Perks,INTP,4,Gryffindor
Hokey Marchbanks,ESTJ,2,Ravenclaw
Karkus Parkinson,ISFJ,4,Hufflepuff
Victoire Murray,ESTP,7,Gryffindor
Goodwin Bell,ISTJ,2,Slytherin
Bane Derwent,ISFP,5,Slytherin
Fat Friar Crouch,ISTP,3,Gryffindor
Ted Gudgeon,ENFJ,5,Gryffindor
Florean Diggle,ENFJ,5,Gryffindor
Emmeline Goyle,ESTP,5,Gryffindor
Broderick Murray,ENTJ,5,Ravenclaw
Mafalda Zograf,ISFP,6,Slytherin
Hokey Mumps,ENFP,2,Hufflepuff
Wendy Skeeter,ESFJ,3,Hufflepuff
Fluffy Pettigrew,ESFJ,7,Hufflepuff
Broderick Derwent,ENTP,5,Slytherin
Fleur Hagrid,INFJ,3,Hufflepuff
Marietta Jordan,ISFJ,2,Hufflepuff
Gilderoy Bryce,ISFP,7,Slytherin
Charlie Higgs,ESTJ,6,Ravenclaw
Alastor Derwent,ESTJ,7,Ravenclaw
Irma Burbage,ENFJ,7,Gryffindor
Mosag Kneen,INFJ,7,Hufflepuff
Hermes Dumbledore,ISTP,2,Gryffindor
Percy Gaunt,ESFP,5,Ravenclaw
Quirinus Kneen,ENFJ,2,Gryffindor
Piers Finch-Fletchley,INFP,2,Hufflepuff
Pigwidgeon MacNair,ESFP,3,Ravenclaw
Cliodna Bones,ISFP,2,Slytherin
Oblansk Timms,ISFJ,7,Hufflepuff
Armando Parkinson,ESFP,2,Ravenclaw
Dilys Bagshot,ENTP,6,Slytherin
Septima Hufflepuff,ISFP,5,Slytherin
Pansy Crockford,ISTJ,6,Slytherin
Bane Imago,ENFJ,5,Gryffindor
Edgar Edgecombe,ISTJ,4,Slytherin
Hermes Turpin,ISFP,4,Slytherin
Victoire Davies,INFP,6,Hufflepuff
Albus percival Wulfric Brian Rosier,ENTP,2,Slytherin
Percy Vulchanov,INFP,2,Hufflepuff
Victoire Fudge,ENTP,6,Slytherin
Malkin MacMillian,ESTP,7,Gryffindor
Wilhelmina Zabini,ENTP,2,Slytherin
Janus Dawlish,ESTJ,5,Ravenclaw
Jimmy Podmore,ESFP,4,Ravenclaw
Silvanus Creevey,ESTP,3,Gryffindor
Kevin Fudge,ENFJ,3,Gryffindor
Moran Cattermole,ISFJ,4,Hufflepuff
Cornelius Rosier,ISTJ,4,Slytherin
Goodwin Volkov,ENFP,6,Hufflepuff
Filius Midgeon,ENTP,3,Slytherin
Evan Thickey,ENTJ,3,Ravenclaw
Fawkes Lovegood,ESTP,2,Gryffindor
Bozo Slughorn,ENTP,4,Slytherin
Mosag Lupin,ISTP,5,Gryffindor
The Grey Lady Vane,ENTJ,3,Ravenclaw
Charlie Prewett,ISTJ,6,Slytherin
Jean Kettleburn,ENTJ,6,Ravenclaw
Antioch Meliflua,ESTJ,7,Ravenclaw
Katie Slytherin,ENTP,6,Slytherin
Winky Slughorn,ENFJ,4,Gryffindor
Viridian Bryce,INFJ,4,Hufflepuff
Alicia Millicent,ISFP,2,Slytherin
Rolanda Peakes,INFJ,4,Hufflepuff
Pansy Pettigrew,INTP,4,Gryffindor
Arsenius Mumps,ESTP,7,Gryffindor
Merlin Bryce,ESFP,5,Ravenclaw
Lord Voldemort Edgecombe,INFP,4,Hufflepuff
Dolores Mimsey-Porpington,INTJ,4,Ravenclaw
Kendra Creevey,ISFP,3,Slytherin
Albus percival Wulfric Brian Peverell,ENTJ,2,Ravenclaw
Minerva Zeller,INFJ,5,Hufflepuff
Rowena Lovegood,ISFJ,6,Hufflepuff
Arcturus Zograf,ESFP,5,Ravenclaw
John Pomfrey,ENFJ,7,Gryffindor
Winky Hufflepuff,ENTP,4,Slytherin
Buckbeak Bryce,ESFP,7,Ravenclaw
Kingsley Parkinson,ENFP,4,Hufflepuff
Kreacher Mundungus,ENFP,4,Hufflepuff
