Name,MB,Year,House
Adalbert Crabbe,14,5,Ravenclaw
Muriel Keddle,10,3,Hufflepuff
Teddy Podmore,13,6,Ravenclaw
George McClaggen,11,2,Hufflepuff
Kendra Belby,16,2,Ravenclaw
Scabior Hooch,10,4,Hufflepuff
Jugson Vector,11,4,Hufflepuff
The Grey Lady Rosier,8,6,Hufflepuff
Edgar Shacklebolt,14,2,Ravenclaw
Fred Jorkins,15,4,Ravenclaw
Piers Timms,8,4,Hufflepuff
Cliodna Helga,9,3,Slytherin
Mosag Edgecombe,9,2,Slytherin
Agatha Rosier,16,5,Ravenclaw
Jugson Binns,8,3,Hufflepuff
Marvolo Chang,2,2,Slytherin
Rosmerta Umbridge,9,4,Slytherin
James Bode,1,4,Gryffindor
Hermione Hooch,12,3,Ravenclaw
Magorian Jigger,8,2,Hufflepuff
Magorian Crabbe,10,2,Hufflepuff
Scabbers Moody,7,4,Gryffindor
John Skeeter,6,2,Gryffindor
Ariana Bryce,6,2,Gryffindor
Bob Volkov,3,4,Slytherin
Nicolas Trimble,2,6,Slytherin
Catriona Peasegood,10,3,Hufflepuff
Augustus Hufflepuff,8,2,Hufflepuff
Severus McClaggen,4,2,Slytherin
Golgomath Marchbanks,8,4,Hufflepuff
Beedle Prewett,3,2,Slytherin
Augustus Thickey,1,4,Gryffindor
Gabrielle Kneen,14,4,Ravenclaw
Evan Burbage,12,5,Ravenclaw
Gellert Umbridge,9,2,Slytherin
Horace Figg,1,4,Gryffindor
Bertha Pennifold,11,2,Hufflepuff
Penelope Morgan,10,5,Hufflepuff
Phineas Nigellus Bagman,9,4,Slytherin
Kreacher Potter,4,2,Slytherin
Anthony Moody,11,3,Hufflepuff
Ernie Midgeon,11,2,Hufflepuff
Albus percival Wulfric Brian Belby,1,2,Gryffindor
Oblansk Weasley,2,2,Slytherin
Zacharias Gaunt,7,6,Gryffindor
Hepzibah Edgecombe,15,6,Ravenclaw
Cassandra Edgecombe,10,3,Hufflepuff
Hestia Lupin,12,3,Ravenclaw
Dirk Grindelwald,13,2,Ravenclaw
Rita Bagnold,3,4,Slytherin
Hannah Peverell,7,2,Gryffindor
Snuffles Mimsey-Porpington,10,4,Hufflepuff
Cliodna Zeller,9,5,Slytherin
Alastor Peverell,16,5,Ravenclaw
Hestia Bagshot,3,6,Slytherin
Teddy Goyle,3,5,Slytherin
Dean Meliflua,1,3,Gryffindor
Alecto Zabini,16,3,Ravenclaw
Augustus Pettigrew,12,4,Ravenclaw
Inigo Maxime,7,6,Gryffindor
Eunice Belby,6,5,Gryffindor
Pigwidgeon Timms,4,3,Slytherin
Gilderoy Pennifold,3,6,Slytherin
Salazar Pettigrew,5,5,Ravenclaw
Percy Jigger,4,2,Slytherin
Winky Binns,11,2,Hufflepuff
Snuffles Umbridge,4,6,Slytherin
Ronan Burbage,4,2,Slytherin
Cho Smith,11,2,Hufflepuff
Amelia Susan Maxime,14,3,Ravenclaw
Aurora Figg,1,3,Gryffindor
Padma Moody,4,2,Slytherin
Cornelius Mundungus,3,4,Slytherin
Edgar Jones,2,6,Slytherin
Remus Brown,2,2,Slytherin
Grawp Keddle,7,5,Gryffindor
Alastor Creevey,6,4,Gryffindor
Blaise Lovegood,7,5,Gryffindor
Hermione Prang,13,5,Ravenclaw
Scabior Abbott,8,3,Hufflepuff
Paracelsus Hopkirk,3,6,Slytherin
Filius Abbott,8,4,Hufflepuff
Arabella Elphick,10,2,Hufflepuff
Mafalda Ravenclaw,10,6,Hufflepuff
Narcissa Kneen,6,6,Gryffindor
Amos Murray,1,2,Gryffindor
Troy Patil,3,4,Slytherin
Hassan Finch-Fletchley,11,3,Hufflepuff
Cassandra Dursley,8,4,Hufflepuff
Penelope McLaggen,9,2,Slytherin
Crookshanks Edgecombe,4,5,Slytherin
Lee Elphick,1,5,Gryffindor
Rubeus Gaunt,13,6,Ravenclaw
Lisa Bulstrode,14,2,Ravenclaw
Bilius Diggory,13,3,Ravenclaw
Ted Riddle,5,2,Ravenclaw
Snivellus Slytherin,3,2,Slytherin
Wormtail Bones,9,5,Slytherin
Tenebrus McLaggen,8,4,Hufflepuff
Kreacher Whisp,7,5,Gryffindor
Cliodna Jordan,10,4,Hufflepuff
Severus Chang,5,2,Ravenclaw
Inigo Bell,6,6,Gryffindor
Pius Lynch,15,3,Ravenclaw
Wilfred Karkaroff,8,2,Hufflepuff
Cornelius Thickey,2,6,Slytherin
Pansy Grindelwald,7,6,Gryffindor
Moony Kettleburn,15,6,Ravenclaw
Gladys Corner,5,6,Ravenclaw
Rose Purkiss,3,4,Slytherin
Gregory Crouch,3,3,Slytherin
Ernie Gaunt,1,6,Gryffindor
Gabrielle McLaggen,10,3,Hufflepuff
Winky Jordan,9,6,Slytherin
Yaxley Morgan,5,3,Ravenclaw
Ivan Prince,12,6,Ravenclaw
Hassan Derwent,2,5,Slytherin
Agatha Oswald,11,4,Hufflepuff
Cedric Goshawk,2,6,Slytherin
Igor Cattermole,2,3,Slytherin
Hassan Umbridge,14,6,Ravenclaw
Ritchie Jordan,5,3,Ravenclaw
Merlin Trelawney,3,4,Slytherin
Hugo Creevey,5,4,Ravenclaw
Bane Dolohov,13,4,Ravenclaw
Beedle Goshawk,5,2,Ravenclaw
Norbert Clearwater,10,3,Hufflepuff
Edgar Creevey,10,6,Hufflepuff
Hannah Kirke,5,5,Ravenclaw
Aberforth Oswald,13,2,Ravenclaw
Wilkie Clagg,4,6,Slytherin
Madam Poppy Flitwick,16,4,Ravenclaw
Kevin Delacour,15,2,Ravenclaw
Kreacher Trelawney,9,2,Slytherin
Arsenius Edgecombe,11,5,Hufflepuff
Grawp Perks,15,4,Ravenclaw
Scabior Bryce,12,3,Ravenclaw
Fleur Thicknesse,4,5,Slytherin
Horace Cresswell,2,2,Slytherin
Marge Delaney-Podmore,1,6,Gryffindor
Helga Zabini,16,2,Ravenclaw
Uric McClaggen,12,4,Ravenclaw
Helena Burbage,15,4,Ravenclaw
Amelia Susan Timms,3,2,Slytherin
Anthony Creevey,12,6,Ravenclaw
Fred Rookwood,2,4,Slytherin
Ron Longbottom,13,2,Ravenclaw
Igor Umbridge,1,3,Gryffindor
Moaning Myrtle Clearwater,2,5,Slytherin
Draco Podmore,3,3,Slytherin
Prongs Zeller,5,2,Ravenclaw
Catriona Rabnott,16,6,Ravenclaw
Romilda Fortescue,6,2,Gryffindor
Percy Prince,8,3,Hufflepuff
Merope Brown,9,5,Slytherin
Teddy Slinkhard,4,2,Slytherin
Victoire Jordan,6,6,Gryffindor
Alecto Lynch,13,4,Ravenclaw
Wilbert Fletcher,8,5,Hufflepuff
Peter Brown,14,5,Ravenclaw
Moran Prang,13,4,Ravenclaw
Wilfred Doreen,6,4,Gryffindor
Parvati Evans,15,2,Ravenclaw
Edgar MacMillian,15,2,Ravenclaw
Pigwidgeon Fudge,5,2,Ravenclaw
Paracelsus Clearwater,3,2,Slytherin
Lavender Black,2,5,Slytherin
The Grey Lady Bragge,3,4,Slytherin
Augustus Bode,3,2,Slytherin
Parvati Bell,1,3,Gryffindor
Horace Doge,12,6,Ravenclaw
Igor Pomfrey,16,5,Ravenclaw
Florean Prang,5,3,Ravenclaw
Agatha Brown,8,2,Hufflepuff
Tom Quirke,5,6,Ravenclaw
Molly Morgan,5,3,Ravenclaw
Stan Bryce,16,4,Ravenclaw
Hamish Marchbanks,6,3,Gryffindor
Marvolo Clearwater,9,4,Slytherin
Agatha Gregorovitch,15,4,Ravenclaw
Aunt Marge Oswald,9,4,Slytherin
Wilfred Hopkirk,2,3,Slytherin
Pomona Marchbanks,14,2,Ravenclaw
Kevin Zeller,1,5,Gryffindor
Eunice Turpin,10,4,Hufflepuff
Karkus Warrington,3,6,Slytherin
Quigley Murray,8,5,Hufflepuff
Igor Bagshot,7,4,Gryffindor
Clara Oswald,1,5,Gryffindor
Adalbert Boardman,6,5,Gryffindor
Bloody Baron Bulstrode,9,5,Slytherin
Trevor Davies,4,5,Slytherin
Goodwin Goshawk,3,4,Slytherin
MykewÂ Potter,2,3,Slytherin
Ivan McClaggen,6,3,Gryffindor
Hannah Bagman,13,3,Ravenclaw
Bane MacNair,12,2,Ravenclaw
Elladora Figg,7,5,Gryffindor
Walden Riddle,16,3,Ravenclaw
Horace Slytherin,6,6,Gryffindor
Dudley Vector,7,2,Gryffindor
Fang Potter,6,5,Gryffindor
Lord Voldemort Jones,15,2,Ravenclaw
Walden MacNair,16,3,Ravenclaw
Salazar Lupin,2,2,Slytherin
Nearly Headless Nick Bode,7,3,Gryffindor
Demelza Lupin,16,3,Ravenclaw
Aidan Moody,1,5,Gryffindor
Anthony Hooch,10,3,Hufflepuff
Moony Nott,14,5,Ravenclaw
Elphias Pomfrey,12,6,Ravenclaw
Bogrod Purkiss,16,5,Ravenclaw
Thomas MacNair,4,4,Slytherin
Neville Johnson,5,4,Ravenclaw
Cormac Krum,12,6,Ravenclaw
Hedwig Bagman,13,5,Ravenclaw
Anthony Flitwick,14,3,Ravenclaw
Rose Zograf,7,6,Gryffindor
Broderick Lovegood,12,2,Ravenclaw
Edgar Filch,1,4,Gryffindor
Crookshanks Mumps,15,5,Ravenclaw
Lavender Fortescue,9,2,Slytherin
Gellert Edgecombe,7,2,Gryffindor
Blaise Slytherin,13,4,Ravenclaw
Elphias Bragge,7,6,Gryffindor
Mundungus Chang,16,2,Ravenclaw
Wilhelmina Crabbe,13,5,Ravenclaw
James Delaney-Podmore,9,3,Slytherin
Millicent Crabbe,10,3,Hufflepuff
Moaning Myrtle Hufflepuff,10,4,Hufflepuff
Ripper Fudge,4,4,Slytherin
Viridian Davies,7,5,Gryffindor
Seamus Umfraville,10,5,Hufflepuff
Theodore Zabini,4,6,Slytherin
Elladora Bagman,6,5,Gryffindor
Oliver McLaggen,5,5,Ravenclaw
Katie Dumbledore,15,6,Ravenclaw
Fred Cresswell,9,2,Slytherin
Gladys Turpin,5,5,Ravenclaw
Merope Zeller,2,2,Slytherin
Peter Pennifold,14,3,Ravenclaw
Aidan Bones,4,3,Slytherin
Tenebrus Pince,16,4,Ravenclaw
Rosmerta Quirrell,6,5,Gryffindor
Firenze Oswald,14,2,Ravenclaw
Cassandra Lynch,7,5,Gryffindor
Bathilda Snape,10,5,Hufflepuff
Elfrida McGonagall,11,3,Hufflepuff
Cuthbert Fudge,15,4,Ravenclaw
Gwenog Quirrell,8,6,Hufflepuff
Elfrida Abbott,3,2,Slytherin
Kingsley Patil,8,5,Hufflepuff
Bill Meliflua,6,3,Gryffindor
Salazar Vulchanov,7,5,Gryffindor
Kingsley Creevey,9,6,Slytherin
Moran Clearwater,16,3,Ravenclaw
Cassandra Skeeter,4,2,Slytherin
Broderick Flamel,2,2,Slytherin
Teddy Pennifold,4,6,Slytherin
Errol Dawlish,16,3,Ravenclaw
Fred Skeeter,1,6,Gryffindor
Aragog MacFarlan,9,4,Slytherin
Reginald Figg,3,3,Slytherin
Reginald Hopkirk,2,6,Slytherin
Teddy Nott,5,3,Ravenclaw
Wilkie Cresswell,1,5,Gryffindor
Emmeline Ogden,2,3,Slytherin
Gregory Granger,12,6,Ravenclaw
Florean Ivanova,2,5,Slytherin
Pansy Peverell,2,3,Slytherin
Mosag Oswald,15,5,Ravenclaw
Dudley Maxime,14,5,Ravenclaw
Amycus Peverell,9,2,Slytherin
Lavender Grindelwald,3,3,Slytherin
Minerva Delaney-Podmore,12,3,Ravenclaw
Severus Jones,7,4,Gryffindor
Parvati Pettigrew,10,3,Hufflepuff
Alastor Patil,15,2,Ravenclaw
Marcus Umbridge,15,4,Ravenclaw
Narcissa Finch-Fletchley,13,5,Ravenclaw
Helga Moody,6,3,Gryffindor
Fawkes Edgecombe,5,5,Ravenclaw
Fang Meliflua,8,3,Hufflepuff
Winky Goshawk,15,6,Ravenclaw
Arabella Filch,13,4,Ravenclaw
Gertie Fortescue,1,2,Gryffindor
Teddy Mostafa,1,4,Gryffindor
Hengist of Woodcroft Ravenclaw,14,4,Ravenclaw
Morgana Doge,12,5,Ravenclaw
Kendra ,4,4,Slytherin
Bertha Moody,16,2,Ravenclaw
Moaning Myrtle Karkaroff,13,4,Ravenclaw
Dennis Delacour,9,6,Slytherin
Michael MacNair,12,5,Ravenclaw
Gellert Higgs,10,3,Hufflepuff
Ivan Black,16,2,Ravenclaw
Godric Volkov,8,6,Hufflepuff
Arabella ,10,3,Hufflepuff
Snuffles Ollivander,9,2,Slytherin
Circe Timms,4,5,Slytherin
Blaise Burbage,1,2,Gryffindor
Sturgis Fudge,5,4,Ravenclaw
Griselda Twycross,1,4,Gryffindor
Gwenog Grunnion,12,4,Ravenclaw
Alberic Prince,9,3,Slytherin
Snivellus Flitwick,12,5,Ravenclaw
Crookshanks Johnson,11,2,Hufflepuff
Ivan Pettigrew,3,2,Slytherin
Wendy Grubbly-Plank,16,2,Ravenclaw
Aidan Lupin,11,4,Hufflepuff
Wilkie Smith,10,3,Hufflepuff
Dedalus Dumbledore,5,6,Ravenclaw
Nearly Headless Nick Pettigrew,16,6,Ravenclaw
Gwendolyn Quirke,4,6,Slytherin
Malkin McGonagall,6,3,Gryffindor
Nicolas Tonks,7,2,Gryffindor
Patrick Flitwick,12,5,Ravenclaw
Augusta Jones,11,6,Hufflepuff
Marvolo Smith,6,5,Gryffindor
Millicent Higgs,3,2,Slytherin
Remus McClaggen,12,2,Ravenclaw
Dilys Jones,16,4,Ravenclaw
Gabrielle Slytherin,6,5,Gryffindor
Firenze Pomfrey,9,4,Slytherin
Doris Diggle,5,3,Ravenclaw
Millicent Volkov,9,5,Slytherin
Cho Dursley,14,5,Ravenclaw
Troy Crouch,6,6,Gryffindor
Patrick Hopkirk,10,5,Hufflepuff
Fleur Lestrange,7,3,Gryffindor
Doris Warrington,16,4,Ravenclaw
Ted Zeller,3,5,Slytherin
Tom McGonagall,14,6,Ravenclaw
Lavender Delaney-Podmore,12,6,Ravenclaw
Theodore Bagshot,10,3,Hufflepuff
Firenze Corner,10,4,Hufflepuff
Aberforth Robins,10,3,Hufflepuff
Nagini Davies,16,5,Ravenclaw
Phineas Nigellus Brown,5,2,Ravenclaw
Gabrielle Fortescue,11,2,Hufflepuff
Mafalda Filch,1,5,Gryffindor
Griphook Perks,12,4,Ravenclaw
Percy Quirrell,14,4,Ravenclaw
Peter Snape,6,4,Gryffindor
Augusta Meliflua,9,4,Slytherin
Hannah Grindelwald,12,3,Ravenclaw
Augustus Mimsey-Porpington,3,5,Slytherin
Moaning Myrtle Gregorovitch,13,2,Ravenclaw
Firenze Gudgeon,14,6,Ravenclaw
Cedric Murray,3,4,Slytherin
Pansy Rabnott,10,6,Hufflepuff
Filius Cattermole,7,5,Gryffindor
Lee Switch,1,2,Gryffindor
Phineas Nigellus Turpin,2,6,Slytherin
The Grey Lady Zeller,12,5,Ravenclaw
Lee Whitby,15,5,Ravenclaw
Magorian Quirrell,12,3,Ravenclaw
Florean Flamel,6,2,Gryffindor
Igor Vulchanov,13,5,Ravenclaw
Magorian Bones,6,2,Gryffindor
Goodwin Vector,11,4,Hufflepuff
Alice Thicknesse,9,4,Slytherin
Ron Davies,7,4,Gryffindor
Dirk Timms,5,5,Ravenclaw
Barberus Clearwater,1,5,Gryffindor
Ernie Kneen,4,3,Slytherin
Magorian Krum,8,2,Hufflepuff
Cormac Timms,2,4,Slytherin
Livius Cresswell,1,3,Gryffindor
Ritchie Kettleburn,7,3,Gryffindor
Jimmy Skeeter,7,6,Gryffindor
Sybill Imago,12,4,Ravenclaw
Tom Zabini,16,6,Ravenclaw
Angelina Switch,7,2,Gryffindor
Ptolemy Corner,8,3,Hufflepuff
Hestia Fortescue,9,5,Slytherin
Wendelin Dolohov,3,3,Slytherin
Andrew Pomfrey,15,5,Ravenclaw
Romilda Slytherin,7,5,Gryffindor
Cho Prewett,7,3,Gryffindor
Wendelin Clagg,8,6,Hufflepuff
Madam Rosmerta Umfraville,13,3,Ravenclaw
Avery Evans,5,3,Ravenclaw
Bilius Lockhart,4,5,Slytherin
Alicia Zabini,16,3,Ravenclaw
Hengist of Woodcroft Bagnold,13,2,Ravenclaw
Lisa Higgs,6,3,Gryffindor
John Brown,16,6,Ravenclaw
Lucius Brown,9,6,Slytherin
Quigley Bryce,15,2,Ravenclaw
Rita Maxime,4,5,Slytherin
Kendra Marchbanks,15,2,Ravenclaw
Orla MacNair,5,5,Ravenclaw
Errol McLaggen,2,3,Slytherin
Patrick McClaggen,13,6,Ravenclaw
Hermione Goldstein,6,5,Gryffindor
Hedwig Peakes,9,4,Slytherin
Florean Quirrell,11,4,Hufflepuff
Catriona Brown,13,5,Ravenclaw
Goodwin ,16,2,Ravenclaw
Sturgis Clearwater,9,4,Slytherin
Eunice Ravenclaw,10,4,Hufflepuff
Cassius Brown,15,2,Ravenclaw
Bellatrix Jigger,7,6,Gryffindor
Griselda Bryce,1,4,Gryffindor
Bob Goyle,7,2,Gryffindor
MykewÂ Bagnold,12,6,Ravenclaw
Magorian Vector,12,6,Ravenclaw
Victoire Patil,13,3,Ravenclaw
Cassius Skeeter,3,5,Slytherin
Ariana Trimble,2,5,Slytherin
Clara Bagshot,9,3,Slytherin
Snivellus Umbridge,5,2,Ravenclaw
Dean Boardman,8,6,Hufflepuff
Bertha Rabnott,15,2,Ravenclaw
Gabrielle Derwent,10,2,Hufflepuff
Griselda Quirke,3,5,Slytherin
Fawkes Abbott,1,5,Gryffindor
Justin Filch,5,6,Ravenclaw
Florean Doreen,3,2,Slytherin
Nicolas Jordan,7,3,Gryffindor
Bob Johnson,8,2,Hufflepuff
Troy Pince,4,3,Slytherin
Ritchie Vector,12,3,Ravenclaw
Quirinus Snape,12,5,Ravenclaw
Sirius Smith,8,3,Hufflepuff
Fleur Flitwick,12,5,Ravenclaw
Quigley Tonks,3,2,Slytherin
Salazar Derwent,16,4,Ravenclaw
Ignotus Quirke,1,3,Gryffindor
Fang Umfraville,16,2,Ravenclaw
Morgana Pince,16,6,Ravenclaw
Rosmerta Rosier,11,6,Hufflepuff
Wendy Gaunt,16,4,Ravenclaw
Mosag Gaunt,13,3,Ravenclaw
Hepzibah Corner,15,5,Ravenclaw
Angelina Peasegood,12,2,Ravenclaw
Winky Evans,11,6,Hufflepuff
Padma Millicent,16,2,Ravenclaw
Salazar Vane,3,5,Slytherin
Hassan Umfraville,1,3,Gryffindor
Fawkes Hopkirk,16,2,Ravenclaw
Hugo Diggle,11,5,Hufflepuff
Fang Zograf,13,5,Ravenclaw
Trevor Finnigan,4,5,Slytherin
Lucius Oswald,14,5,Ravenclaw
Bertha Filch,11,6,Hufflepuff
Kendra Doreen,5,4,Ravenclaw
Seamus Jigger,12,4,Ravenclaw
Firenze Flamel,2,4,Slytherin
Albus percival Wulfric Brian Zograf,10,4,Hufflepuff
Scorpius Pince,11,2,Hufflepuff
Wendelin Shacklebolt,6,6,Gryffindor
Hedwig Meliflua,5,2,Ravenclaw
Alastor Helga,1,6,Gryffindor
Septima McClaggen,16,6,Ravenclaw
Lucius Granger,10,3,Hufflepuff
Reginald Whisp,5,6,Ravenclaw
Stan Dawlish,6,2,Gryffindor
Alastor Fortescue,10,3,Hufflepuff
Beedle Finnigan,8,2,Hufflepuff
Elladora Jigger,9,3,Slytherin
Miranda Warrington,5,5,Ravenclaw
Snuffles Gryffindor,16,5,Ravenclaw
Vincent Karkaroff,15,3,Ravenclaw
Nearly Headless Nick Belby,14,5,Ravenclaw
Moaning Myrtle Shacklebolt,5,2,Ravenclaw
Malkin Brown,15,5,Ravenclaw
Charlie Warbeck,3,2,Slytherin
Jugson Weasley,7,5,Gryffindor
Charity Keddle,1,5,Gryffindor
Jugson Vulchanov,6,4,Gryffindor
Scorpius Rookwood,6,5,Gryffindor
You-Know-Who Bagshot,13,4,Ravenclaw
Buckbeak Longbottom,8,6,Hufflepuff
Malkin Nott,11,2,Hufflepuff
Quigley Vulchanov,15,2,Ravenclaw
